LINK CODE,ADVERTISER,LINK NAME,LINK ID,RETAIL PRICE,CATEGORY,,,,,,,,,,,,
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976827987&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fskyler-metallic-pleated-maxi-skirt""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Skyler_Metallic_Pleated_Maxi_Skirt_by_STORETS_1800x1800.jpg?v=1550798984"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976827987&type=2&subid=0"" >","JAE. CO., LTD",SKYLER METALLIC PLEATED MAXI SKIRT,,,13976827987,45.9,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976827987&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fskyler-metallic-pleated-maxi-skirt,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Skyler_Metallic_Pleated_Maxi_Skirt_by_STORETS_1800x1800.jpg?v=1550798984,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976827987&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976827981&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Ffroa-double-breasted-pleats-skort""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Froa_Double_Breasted_Pleats_Skort_by_STORETS_1800x1800.jpg?v=1550812118"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976827981&type=2&subid=0"" >","JAE. CO., LTD",FROA DOUBLE BREASTED PLEATS SKORT,,,13976827981,58.9,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976827981&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Ffroa-double-breasted-pleats-skort,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Froa_Double_Breasted_Pleats_Skort_by_STORETS_1800x1800.jpg?v=1550812118,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976827981&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828005&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fnava-plaid-flare-shorts""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Nava_Plaid_Flare_Shorts_by_STORETS_1800x1800.jpg?v=1550644342"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828005&type=2&subid=0"" >","JAE. CO., LTD",NAVA PLAID FLARE SHORTS,,,13976828005,75.9,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828005&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fnava-plaid-flare-shorts,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Nava_Plaid_Flare_Shorts_by_STORETS_1800x1800.jpg?v=1550644342,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828005&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976827960&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Ffiora-tulip-shorts""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Fiora_Tulip_Shorts_by_STORETS_1800x1800.jpg?v=1551058884"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976827960&type=2&subid=0"" >","JAE. CO., LTD",FIORA TULIP SHORTS,,,13976827960,55.9,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976827960&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Ffiora-tulip-shorts,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Fiora_Tulip_Shorts_by_STORETS_1800x1800.jpg?v=1551058884,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976827960&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828054&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Flennon-collarless-tweed-crop-jacket""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Lennon_Collarless_Tweed_Crop_Jacket_by_STORETS_720x.jpg?v=1551166279"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828054&type=2&subid=0"" >","JAE. CO., LTD",LENNON COLLARLESS TWEED CROP JACKET,,,13976828054,84.9,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828054&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Flennon-collarless-tweed-crop-jacket,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Lennon_Collarless_Tweed_Crop_Jacket_by_STORETS_720x.jpg?v=1551166279,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828054&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828017&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Flotus-paperbag-waist-skirt""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Lotus_Paperbag_Waist_Skirt_by_STORETS_1800x1800.jpg?v=1550734838"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828017&type=2&subid=0"" >","JAE. CO., LTD",LOTUS PAPERBAG WAIST SKIRT,,,13976828017,84.9,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828017&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Flotus-paperbag-waist-skirt,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Lotus_Paperbag_Waist_Skirt_by_STORETS_1800x1800.jpg?v=1550734838,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828017&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828020&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Ffroa-three-button-plaid-blazer""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Froa_Three_button_Plaid_Blazer_by_STORETS_720x.jpg?v=1551086198"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828020&type=2&subid=0"" >","JAE. CO., LTD",FROA THREE BUTTON PLAID BLAZER,,,13976828020,139,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828020&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Ffroa-three-button-plaid-blazer,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Froa_Three_button_Plaid_Blazer_by_STORETS_720x.jpg?v=1551086198,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828020&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828032&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Ftara-double-breasted-jacket""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Tara_Double-breasted_Jacket_by_STORETS_1800x1800.jpg?v=1551143421"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828032&type=2&subid=0"" >","JAE. CO., LTD",TARA DOUBLE-BREASTED JACKET,,,13976828032,135,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828032&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Ftara-double-breasted-jacket,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Tara_Double-breasted_Jacket_by_STORETS_1800x1800.jpg?v=1551143421,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828032&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828008&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Flinnett-washed-skinny-jeans""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Linnett_Washed_Skinny_Jeans_by_STORETS_1800x1800.jpg?v=1550735117"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828008&type=2&subid=0"" >","JAE. CO., LTD",LINNETT WASHED SKINNY JEANS,,,13976828008,68.9,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828008&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Flinnett-washed-skinny-jeans,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Linnett_Washed_Skinny_Jeans_by_STORETS_1800x1800.jpg?v=1550735117,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828008&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828026&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fdalary-belted-jacket""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Dalary_Belted_Jacket_by_STORETS_1800x1800.jpg?v=1551086453"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828026&type=2&subid=0"" >","JAE. CO., LTD",DALARY BELTED JACKET,,,13976828026,135,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828026&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fdalary-belted-jacket,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Dalary_Belted_Jacket_by_STORETS_1800x1800.jpg?v=1551086453,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828026&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828011&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Flennon-tweed-skirt""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Lennon_Tweed_Skirt_by_STORETS_720x.jpg?v=1551166158"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828011&type=2&subid=0"" >","JAE. CO., LTD",LENNON TWEED SKIRT,,,13976828011,49.9,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828011&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Flennon-tweed-skirt,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Lennon_Tweed_Skirt_by_STORETS_720x.jpg?v=1551166158,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828011&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828035&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fzenia-grid-tweed-jacket""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Zenia_Grid_Tweed_Jacket_by_STORETS_720x.jpg?v=1551934324"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828035&type=2&subid=0"" >","JAE. CO., LTD",ZENIA GRID TWEED JACKET,,,13976828035,135,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828035&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fzenia-grid-tweed-jacket,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Zenia_Grid_Tweed_Jacket_by_STORETS_720x.jpg?v=1551934324,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828035&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828029&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Freda-houndstooth-collarless-blazer""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Reda_Houndstooth_Collarless_Blazer_by_STORETS_720x.jpg?v=1551164726"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828029&type=2&subid=0"" >","JAE. CO., LTD",REDA HOUNDSTOOTH COLLARLESS BLAZER,,,13976828029,144,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828029&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Freda-houndstooth-collarless-blazer,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Reda_Houndstooth_Collarless_Blazer_by_STORETS_720x.jpg?v=1551164726,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828029&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828038&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fquintina-belted-jacket""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Quintina_Belted_Jacket_by_STORETS_1800x1800.jpg?v=1551145685"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828038&type=2&subid=0"" >","JAE. CO., LTD",QUINTINA BELTED JACKET,,,13976828038,115,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828038&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fquintina-belted-jacket,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Quintina_Belted_Jacket_by_STORETS_1800x1800.jpg?v=1551145685,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828038&type=2&subid=0, >
"<a href=""https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828023&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fliz-peter-pan-collar-jacket-in-tweed""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Liz_Peter_Pan_Collar_Jacket_in_Tweed_by_STORETS_720x.jpg?v=1551085802"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828023&type=2&subid=0"" >","JAE. CO., LTD",LIZ PETER PAN COLLAR JACKET IN TWEED,,,13976828023,118,Apparel & #038 Accessories,,,,,https://click.linksynergy.com/link?id=FpriN4pC5jA&offerid=507051.13976828023&type=2&murl=https%3A%2F%2Fwww.storets.com%2Fproducts%2Fliz-peter-pan-collar-jacket-in-tweed,,https://cdn.shopify.com/s/files/1/0024/0274/6421/products/Liz_Peter_Pan_Collar_Jacket_in_Tweed_by_STORETS_720x.jpg?v=1551085802,,https://ad.linksynergy.com/fs-bin/show?id=FpriN4pC5jA&bids=507051.13976828023&type=2&subid=0, >
